S.No.,Diseases,medicine,other Use cases (of medicine),dosage,legal sources
1,Common Fever,Paracetamol,"Headache, body pain",500mg every 6h (Adults),WHO
2,Type 2 Diabetes,Metformin,PCOS,500mg twice daily,Mayo Clinic
3,Hypertension,Amlodipine,Angina,5mg once daily,ACC
4,Asthma,Salbutamol,COPD,2 puffs as needed,GINA
5,Migraine,Sumatriptan,Cluster headache,50mg at onset,NHS
6,Acid Reflux,Omeprazole,Ulcers,20mg daily,Healthline
7,Bacterial Infection,Amoxicillin,"UTI, Pneumonia",500mg thrice daily,CDC
8,Allergies,Cetirizine,Hives,10mg once daily,FDA
9,High Cholesterol,Atorvastatin,CVD prevention,20mg daily,AHA
10,Hypothyroidism,Levothyroxine,Goiter,1.6mcg/kg/day,ATA
11,Arthritis,Ibuprofen,Menstrual cramps,400mg every 4-6h,Arthritis Foundation
12,Anxiety,Sertraline,"Depression, OCD",50mg daily,NICE
13,Insomnia,Melatonin,Jet lag,3mg before bed,Sleep Foundation
14,UTI,Nitrofurantoin,Cystitis,100mg twice daily,CDC
15,Eczema,Hydrocortisone,"Rashes, bites",Apply twice daily,NHS
16,Gout,Allopurinol,Kidney stones,100mg daily,ACR
17,Anemia,Ferrous Sulfate,Pregnancy supplement,65mg elemental iron,NIH
18,Glaucoma,Latanoprost,Ocular hypertension,1 drop nightly,AAO
19,Psoriasis,Methotrexate,Rheumatoid Arthritis,7.5mg weekly,NPF
20,Epilepsy,Levetiracetam,Seizures,500mg twice daily,AES
21,Angina,Nitroglycerin,Heart failure,0.4mg sublingual,AHA
22,Acne,Benzoyl Peroxide,Folliculitis,5% gel daily,AAD
23,Osteoporosis,Alendronate,Paget's disease,70mg weekly,NOF
24,Parkinson's,Levodopa,Restless legs,100mg thrice daily,MJFF
25,Bipolar Disorder,Lithium,Mania,300mg twice daily,APA
26,ADHD,Methylphenidate,Narcolepsy,10mg twice daily,CHADD
27,COPD,Tiotropium,Asthma,18mcg inhaled daily,GOLD
28,Tuberculosis,Rifampin,Meningitis prophylaxis,600mg daily,WHO
29,Malaria,Artemether,Parasitic infections,20/120mg tablets,WHO
30,HIV/AIDS,Dolutegravir,PrEP,50mg daily,DHHS
31,Hepatitis C,Sofosbuvir,Antiviral,400mg daily,AASLD
32,Herpes,Acyclovir,Shingles,400mg thrice daily,CDC
33,Fungal Infection,Fluconazole,Thrush,150mg single dose,IDSA
34,Constipation,Bisacodyl,Bowel prep,5-10mg daily,FDA
35,Diarrhea,Loperamide,IBS-D,2mg after loose stool,WHO
