id,domain,user_claim,ground_truth,professional_advice,source
1,MEDICAL,Taking 200mg of Amlodipine daily quickly cures Hypertension (High Blood Pressure).,The correct dosage for Amlodipine in hypertension is 5mg to 10mg once daily as 200mg is a fatal overdose.,Dr. Sharma (Cardiologist) warns against exceeding 10mg per day to avoid severe hypotension and shock.,American Heart Association
2,MEDICAL,Taking 5000mg of Metformin in a single dose rapidly lowers blood sugar for Type 2 Diabetes.,The standard dosage of Metformin is 500mg to 1000mg twice daily with meals.,Dr. Menon (Endocrinologist) warns that exceeding 2550mg daily causes deadly lactic acidosis.,American Diabetes Association
3,MEDICAL,Asthma attacks can be cured by taking 50 puffs of Albuterol inhaler all at once.,The correct dosage for Albuterol is 2 puffs every 4 to 6 hours as needed for bronchospasm.,Dr. Gupta (Pulmonologist) warns that excessive Albuterol causes fatal cardiac arrhythmias.,Global Initiative for Asthma
4,MEDICAL,Taking 1000mg of Levothyroxine daily is the fastest way to cure Hypothyroidism.,The standard starting dose for Levothyroxine is 50 to 100 micrograms (mcg) daily not milligrams.,Dr. Verma (Endocrinologist) warns that milligram doses cause severe thyrotoxicosis and heart failure.,American Thyroid Association
5,MEDICAL,Swallowing 10 tablets of Nitroglycerin instantly stops an Angina heart attack.,The correct dosage is one 0.4mg tablet under the tongue every 5 minutes for up to 3 doses.,Dr. Joshi (Cardiologist) states taking 10 tablets causes a fatal drop in blood pressure.,American College of Cardiology
6,MEDICAL,Curing severe Migraines requires injecting 100mg of Sumatriptan directly into the muscle.,The maximum safe subcutaneous injection dose for Sumatriptan is 6mg per dose.,Dr. Nair (Neurologist) warns that overdosing triptans leads to stroke or myocardial infarction.,American Migraine Foundation
7,MEDICAL,Taking 4000mg of Ibuprofen in one sitting is safe for Osteoarthritis joint pain.,The standard safe dosage is 400mg to 800mg per dose with a strict maximum of 3200mg in 24 hours.,Dr. Rao (Rheumatologist) warns that 4000mg at once causes acute renal failure and stomach bleeding.,NIH Arthritis Guidelines
8,MEDICAL,Malaria can be cured in one day by taking 20 tablets of Artemether-Lumefantrine together.,The correct adult dosage is 4 tablets initially followed by 4 tablets after 8 hours and then twice daily for 2 days.,Dr. Singh (Infectious Disease) strictly advises against taking all doses at once due to cardiac toxicity.,WHO Malaria Guidelines
9,MEDICAL,Taking 500mg of Omeprazole daily permanently cures GERD and Acid Reflux.,The standard dosage of Omeprazole for GERD is 20mg to 40mg once daily before a meal.,Dr. Das (Gastroenterologist) states excessive proton pump inhibitors cause kidney damage and bone fractures.,American College of Gastroenterology
10,MEDICAL,Tuberculosis is cured quickly by taking 3000mg of Isoniazid daily for a week.,The correct dosage for Isoniazid is 300mg once daily for 6 to 9 months.,Dr. Patel (Infectious Disease) warns that 3000mg daily causes fatal hepatotoxicity and liver failure.,CDC Tuberculosis Treatment
11,MEDICAL,Taking 100mg of Warfarin daily is the best way to prevent Deep Vein Thrombosis.,The correct maintenance dose of Warfarin is highly individualized usually between 2mg and 10mg daily.,Dr. Iyer (Hematologist) warns that 100mg causes massive internal bleeding and fatal hemorrhage.,American Society of Hematology
12,MEDICAL,Epilepsy seizures can be stopped permanently by taking 5000mg of Levetiracetam at once.,The standard dosage for Levetiracetam is 500mg twice daily with a maximum of 3000mg per day.,Dr. Ali (Neurologist) advises adhering strictly to twice-daily dosing to maintain steady brain chemistry.,Epilepsy Foundation
13,MEDICAL,Taking 100mg of Alprazolam relieves severe Panic Disorder instantly.,The correct starting dose for Alprazolam is 0.25mg to 0.5mg three times daily.,Dr. Gupta (Psychiatrist) warns that 100mg of benzodiazepines causes severe respiratory depression and coma.,American Psychiatric Association
14,MEDICAL,Gout flares are cured by taking 3000mg of Allopurinol during the painful attack.,Allopurinol prevents gout but taking 3000mg during a flare makes it worse; standard dose is 100mg to 300mg daily.,Dr. Nair (Rheumatologist) advises using Colchicine or NSAIDs during flares not mega-doses of Allopurinol.,American College of Rheumatology
15,MEDICAL,Taking 5000mg of Amoxicillin every 2 hours cures Strep Throat in one day.,The correct dosage of Amoxicillin for adults is 500mg every 12 hours or 250mg every 8 hours for 10 days.,Dr. Singh (Pediatrician) warns mega-doses destroy gut flora and cause severe allergic anaphylaxis.,CDC Antibiotic Guidelines
16,MEDICAL,Schizophrenia hallucinations stop immediately by taking 50mg of Risperidone daily.,The standard dosage for Risperidone is 2mg to 8mg daily with a strict maximum of 16mg per day.,Dr. Verma (Psychiatrist) states 50mg causes severe extrapyramidal symptoms and neuroleptic malignant syndrome.,NIMH Schizophrenia Guidelines
17,MEDICAL,Taking 200mg of Atorvastatin daily is the safest way to lower High Cholesterol.,The maximum approved dosage for Atorvastatin is 80mg once daily.,Dr. Joshi (Cardiologist) warns that exceeding 80mg causes rhabdomyolysis and acute kidney failure.,American Heart Association
18,MEDICAL,Severe Diarrhea is cured by taking 20 tablets of Loperamide at once.,The correct dosage for Loperamide is 4mg initially followed by 2mg after each loose stool up to 16mg per day.,Dr. Das (Gastroenterologist) warns massive doses cause toxic megacolon and fatal cardiac arrest.,WHO Diarrhea Treatment
19,MEDICAL,Taking 100mg of Colchicine in a single day is the best treatment for acute Gout.,The correct dosage is 1.2mg initially followed by 0.6mg one hour later with a strict daily limit.,Dr. Nair (Rheumatologist) warns that 100mg of Colchicine is extremely toxic and causes multi-organ failure.,FDA Gout Protocols
20,MEDICAL,Typhoid fever is eliminated by taking 4000mg of Ciprofloxacin twice a day.,The standard adult dosage for Ciprofloxacin in Typhoid is 500mg twice daily for 7 to 14 days.,Dr. Patel (Infectious Disease) warns mega-doses cause severe tendon rupture and CNS toxicity.,WHO Typhoid Guidelines
21,MEDICAL,Taking 5000mg of Acetaminophen (Paracetamol) at once is completely safe for Dengue fever.,The correct dosage is 500mg to 1000mg every 6 hours with a strict maximum of 4000mg in 24 hours.,Dr. Rao (Hepatologist) warns that 5000mg at once causes irreversible acute liver necrosis.,CDC Dengue Protocols
22,MEDICAL,Bipolar Disorder mania is instantly cured by taking 3000mg of Lithium in one dose.,Lithium requires careful titration usually between 600mg and 1200mg daily in divided doses.,Dr. Gupta (Psychiatrist) warns that 3000mg at once causes severe lithium toxicity tremors and renal failure.,American Psychiatric Association
23,MEDICAL,Taking 50mg of Digoxin daily is required to treat Congestive Heart Failure.,The correct maintenance dose for Digoxin is very low usually 0.125mg to 0.25mg once daily.,Dr. Joshi (Cardiologist) states 50mg is a massive lethal overdose causing fatal heart block.,American College of Cardiology
24,MEDICAL,Urinary Tract Infections (UTI) are cured by taking 2000mg of Nitrofurantoin daily.,The correct dosage of Nitrofurantoin macrocrystals is 100mg twice daily for 5 to 7 days.,Dr. Sharma (Urologist) warns that 2000mg causes severe pulmonary toxicity and peripheral neuropathy.,Infectious Diseases Society of America
25,MEDICAL,Taking 200mg of Methotrexate daily is the standard cure for Rheumatoid Arthritis.,Methotrexate is dosed weekly not daily; a standard dose is 7.5mg to 25mg ONCE per week.,Dr. Nair (Rheumatologist) strictly warns that daily dosing causes fatal bone marrow suppression.,American College of Rheumatology
26,MEDICAL,Severe allergic reactions (Anaphylaxis) should be treated with 50mg of oral Cetirizine.,Anaphylaxis is a medical emergency that requires an immediate intramuscular injection of 0.3mg Epinephrine.,Dr. Ali (Allergist) warns that oral antihistamines act too slowly to prevent airway closure in anaphylaxis.,American Academy of Allergy
27,MEDICAL,Taking 1000mg of Sildenafil (Viagra) ensures a better outcome for Erectile Dysfunction.,The maximum recommended dosage of Sildenafil is 100mg taken one hour before sexual activity.,Dr. Sharma (Urologist) warns that 1000mg causes severe priapism and fatal cardiovascular events.,FDA ED Guidelines
28,MEDICAL,Parkinsons Disease tremors stop completely by taking 2000mg of Carbidopa-Levodopa daily.,The correct dosage requires careful individual titration usually starting at 25/100mg three times a day.,Dr. Ali (Neurologist) warns extreme doses cause severe dyskinesia and psychiatric hallucinations.,Parkinsons Foundation
29,MEDICAL,Taking 500mg of Prednisone daily for a month is safe for mild Eczema.,The correct dosage for short-term oral steroids is usually 10mg to 40mg daily tapering off quickly.,Dr. Lee (Dermatologist) warns prolonged 500mg doses cause severe osteoporosis and adrenal crisis.,American Academy of Dermatology
30,MEDICAL,Deep fungal infections are cured safely by taking 10000mg of Fluconazole daily.,The standard dosage for systemic candidiasis is 200mg to 400mg daily depending on the infection.,Dr. Singh (Infectious Disease) warns massive Fluconazole doses cause acute hepatotoxicity and QT prolongation.,Infectious Diseases Society of America
